ID;AnoNascimento;Escolaridade;EstadoCivil;Renda;GastoComVinhos;GastoComCarnes;ComprasWeb;ComprasLoja
8595;1973;Graduation;Widow;42429.0;55;2;1;5
2968;1943;PhD;Divorced;48948.0;437;160;10;6
8601;1980;Graduation;Married;80011.0;421;82;6;4
503;1985;Master;Married;20559.0;13;3;0;8
8430;1957;Graduation;Together;21994.0;9;3;0;5
7281;1959;PhD;Single;0.0;81;3;3;2
2139;1975;Master;Married;7500.0;3;3;0;5
1371;1976;Graduation;Single;79941.0;123;227;4;1
9909;1996;2n Cycle;Married;7500.0;3;15;1;9
7286;1968;Graduation;Together;41728.0;13;3;0;10
7244;1951;Graduation;Single;0.0;48;6;1;6
6566;1954;PhD;Married;72550.0;826;50;2;8
8614;1957;Graduation;Widow;65486.0;245;37;2;2
4114;1964;Master;Married;79143.0;650;27;9;3
1331;1977;Graduation;Single;35790.0;12;30;0;7
2225;1977;Graduation;Divorced;82582.0;510;156;9;1
9381;1978;Graduation;Married;66373.0;328;12;2;3
6260;1955;Master;Together;82384.0;984;180;10;1
10383;1966;Graduation;Divorced;70287.0;295;121;5;3
7437;1988;Graduation;Single;27938.0;13;2;0;3
8557;1982;Graduation;Single;0.0;11;2;0;6
8375;1968;PhD;Married;55954.0;447;0;2;7
6853;1982;Master;Single;75777.0;712;69;6;1
3076;1975;Graduation;Together;66653.0;452;16;2;3
1012;1952;Graduation;Single;61823.0;523;37;2;7
6518;1951;PhD;Widow;67680.0;546;0;3;5
4137;1948;Graduation;Together;70666.0;398;119;4;4
8082;1971;Graduation;Married;25721.0;1;3;1;7
1386;1967;Graduation;Together;32474.0;10;0;0;7
9369;1979;2n Cycle;Single;88194.0;688;201;10;5
4477;1958;Graduation;Together;69096.0;247;7;2;4
1357;1970;Graduation;Together;74854.0;856;58;5;5
1402;1954;Master;Married;66991.0;496;189;8;3
10629;1973;2n Cycle;Married;0.0;25;17;0;8
6312;1959;Graduation;Married;65031.0;258;84;3;7
8132;1975;PhD;Married;60631.0;565;0;2;7
1050;1952;Graduation;Married;28332.0;14;4;1;2
5846;1977;Graduation;Divorced;40246.0;2;2;0;6
1859;1972;Master;Married;75251.0;721;97;6;5
7503;1976;Graduation;Single;75825.0;1032;137;8;4
10401;1976;2n Cycle;Together;26326.0;1;0;0;3
1618;1965;Graduation;Together;56046.0;577;0;1;8
3332;1985;Graduation;Single;29760.0;64;7;1;8
2261;1969;Graduation;Married;26304.0;4;2;0;7
5346;1973;2n Cycle;Married;23559.0;25;7;0;7
4119;1963;Master;Together;38620.0;112;34;5;3
535;1987;Graduation;Divorced;81361.0;163;27;10;1
5268;1960;Graduation;Married;29440.0;17;10;0;7
273;1970;Master;Married;36138.0;130;0;1;7
4452;1957;Graduation;Single;50388.0;292;0;1;7
8504;1973;Graduation;Married;79593.0;350;110;6;2
771;1967;Graduation;Together;54178.0;135;4;2;2
8996;1957;PhD;Married;0.0;230;49;2;9
9235;1957;Graduation;Single;0.0;7;2;0;7
5798;1973;Master;Together;0.0;445;98;4;1
11178;1972;Master;Single;42394.0;15;0;0;7
2230;1970;PhD;Married;23626.0;27;0;1;5
7516;1983;Graduation;Married;30096.0;5;12;0;6
7247;1960;Graduation;Widow;47916.0;505;0;4;6
11100;1972;Graduation;Divorced;51813.0;51;0;0;7
4646;1951;2n Cycle;Married;78497.0;207;75;7;2
3037;1983;PhD;Married;50150.0;135;65;2;5
1473;1960;2n Cycle;Single;47823.0;53;2;0;8
1016;1959;PhD;Single;34554.0;41;2;0;6
4518;1979;Graduation;Together;85693.0;386;185;5;5
9370;1945;PhD;Married;65846.0;562;80;3;4
8908;1959;Graduation;Married;87195.0;217;50;11;1
8373;1979;Basic;Together;24594.0;1;10;0;5
7533;1964;Graduation;Married;49096.0;144;2;1;7
2683;1969;Graduation;Married;52413.0;295;75;4;6
3629;1978;Graduation;Single;38557.0;76;4;1;7
10991;1960;Master;Married;89058.0;454;31;4;2
5077;1979;Graduation;Together;77298.0;425;23;6;3
7431;1991;PhD;Single;68126.0;1332;23;4;9
3267;1963;Master;Together;57288.0;527;0;1;6
999;1991;Graduation;Single;86037.0;490;29;7;3
9215;1980;PhD;Married;43974.0;378;0;4;7
2286;1962;Graduation;Single;50785.0;64;0;1;6
1592;1970;Graduation;Married;90765.0;547;151;6;1
367;1978;2n Cycle;Married;36550.0;47;123;1;9
5234;1967;2n Cycle;Together;30753.0;12;0;1;5
9862;1969;Graduation;Together;21918.0;1;11;0;6
9805;1953;Master;Together;56129.0;320;39;2;4
6205;1967;Master;Single;32557.0;34;0;1;5
8442;1985;Master;Married;19510.0;9;3;0;7
7386;1976;Graduation;Divorced;30992.0;17;7;0;7
7215;1983;Graduation;Single;101970.0;722;44;8;2
1491;1965;2n Cycle;Together;71488.0;162;40;4;1
11071;1984;Graduation;Single;79607.0;450;173;6;1
3381;1953;Master;Married;54348.0;70;0;0;6
8268;1961;PhD;Married;0.0;352;10;1;6
11051;1956;PhD;Together;77376.0;492;16;3;4
8026;1952;Graduation;Married;62998.0;120;65;4;5
433;1958;Master;Alone;61331.0;534;0;1;8
9597;1969;Graduation;Married;73448.0;236;23;2;4
1295;1963;Graduation;Married;0.0;231;38;5;4
5290;1964;PhD;Married;41551.0;220;3;1;8
1685;1967;PhD;Together;62981.0;796;38;5;3
5342;1976;Basic;Divorced;9548.0;0;10;0;8
9579;1959;PhD;Married;33762.0;53;2;2;8
7660;1973;PhD;Alone;35860.0;15;4;1;5
1461;1965;PhD;Divorced;36921.0;17;3;0;7
821;1992;Master;Single;92859.0;962;52;4;2
11084;1976;Master;Together;65104.0;738;13;5;7
8690;1962;Graduation;Married;86111.0;399;36;7;2
2937;1974;PhD;Single;68352.0;614;43;5;6
9701;1988;Graduation;Together;41883.0;32;73;2;7
9949;1976;Graduation;Married;59809.0;598;32;3;8
10837;1975;Graduation;Married;23957.0;2;20;0;6
3120;1981;Graduation;Together;38547.0;6;0;0;8
5885;1973;2n Cycle;Married;35688.0;73;12;1;8
4050;1966;Master;Married;49605.0;42;12;1;3
3830;1953;Master;Married;59354.0;295;39;4;3
7987;1969;Graduation;Married;65747.0;346;23;1;6
7798;1972;2n Cycle;Together;46344.0;233;8;1;7
92;1988;Graduation;Alone;34176.0;5;19;0;6
7055;1952;PhD;Together;61010.0;888;0;5;5
10240;1949;Graduation;Together;69372.0;997;34;4;4
3025;1958;Graduation;Single;49967.0;212;4;1;7
9283;1978;Graduation;Single;60199.0;8;2;0;4
9970;1977;Graduation;Together;55375.0;42;10;1;2
2730;1955;Graduation;Single;80317.0;536;149;4;1
2795;1958;Master;Single;30523.0;5;0;0;7
9260;1945;PhD;Married;70356.0;1349;43;6;6
8182;1984;Graduation;Married;23228.0;53;7;0;8
10095;1975;PhD;Divorced;74165.0;1001;16;4;2
8475;1973;PhD;Married;157243.0;20;1;22;0
4370;1966;Graduation;Together;43482.0;18;6;0;6
10573;1953;Graduation;Divorced;62551.0;125;134;7;3
3712;1959;Graduation;Divorced;52332.0;212;7;2;4
6637;1988;Graduation;Single;66951.0;277;173;4;1
3152;1957;Graduation;Together;26091.0;15;8;1;5
5610;1965;Graduation;Together;33456.0;7;8;0;7
6460;1982;Graduation;Married;28718.0;12;11;0;8
1349;1970;Graduation;Married;50447.0;85;2;1;6
1880;1959;PhD;Together;53537.0;81;0;1;5
641;1967;Graduation;Single;52074.0;59;0;2;4
8717;1975;PhD;Married;80427.0;1149;69;8;5
10314;1948;PhD;Married;83837.0;847;86;10;4
10854;1970;PhD;Married;38853.0;29;0;0;7
10492;1959;Graduation;Together;38285.0;2;2;0;2
6935;1951;2n Cycle;Married;78497.0;207;75;7;2
7698;1976;PhD;Married;51650.0;152;2;1;5
3559;1988;2n Cycle;Married;16248.0;12;3;1;6
10562;1946;Master;Married;66835.0;620;34;4;2
10796;1984;Master;Married;30477.0;47;0;1;6
2563;1961;Basic;Married;28249.0;1;2;0;6
3518;1983;Graduation;Married;25271.0;10;10;1;9
5823;1970;PhD;Single;32303.0;35;0;0;5
3934;1966;Graduation;Married;61286.0;356;19;1;5
6982;1976;Graduation;Married;74068.0;783;140;10;2
6431;1964;PhD;Married;45759.0;42;3;0;7
9733;1978;Basic;Together;24882.0;1;29;1;6
5602;1989;PhD;Together;66973.0;466;147;7;3
7829;1900;2n Cycle;Divorced;36640.0;15;7;1;5
1324;1988;Graduation;Married;38872.0;23;3;0;8
326;1973;Graduation;Married;51148.0;235;8;1;6
7224;1977;Graduation;Married;31353.0;10;3;1;8
6999;1980;Master;Married;69661.0;656;32;3;3
9938;1954;Graduation;Married;80067.0;519;27;6;2
6422;1954;Graduation;Married;86718.0;344;50;6;2
3182;1973;PhD;Single;46854.0;96;7;1;8
7300;1952;Graduation;Divorced;69142.0;448;6;1;5
10424;1968;Graduation;Single;75922.0;265;224;4;1
8727;1978;Graduation;Divorced;63693.0;587;42;6;6
2798;1977;PhD;Together;102160.0;763;76;9;4
1030;1965;PhD;Single;40637.0;22;0;0;7
624;1984;Master;Single;18890.0;6;7;1;6
5176;1988;Graduation;Together;29604.0;7;7;0;9
5552;1963;Master;Divorced;48721.0;81;47;2;6
868;1966;Graduation;Married;44794.0;54;0;0;6
380;1954;Graduation;Divorced;64497.0;1170;42;4;8
2677;1956;Graduation;Together;46097.0;72;65;1;4
6521;1954;Graduation;Together;77972.0;613;33;6;1
6927;1968;PhD;Married;44377.0;224;0;1;8
2877;1974;Master;Together;46014.0;410;19;1;7
0;1985;Graduation;Married;70951.0;239;254;4;1
1584;1977;Graduation;Married;41443.0;171;25;1;8
7264;1978;2n Cycle;Single;52195.0;12;0;0;8
6274;1948;Master;Married;83790.0;1076;42;10;3
1377;1954;Master;Widow;44551.0;182;0;1;7
454;1980;Graduation;Together;69508.0;824;42;4;6
1755;1988;2n Cycle;Together;45204.0;30;29;1;3
2075;1969;Graduation;Married;72460.0;377;80;5;1
4785;1970;PhD;Together;77622.0;520;19;3;3
9076;1980;PhD;Married;30732.0;155;0;1;8
7079;1962;Graduation;Divorced;63887.0;897;15;6;6
4653;1978;Graduation;Together;42011.0;131;2;1;8
7375;1976;Graduation;Together;51369.0;297;0;2;8
709;1952;Graduation;Divorced;51537.0;787;0;2;8
460;1972;PhD;Married;79930.0;792;67;5;2
3726;1986;PhD;Together;34320.0;4;3;0;8
6798;1966;Graduation;Single;37070.0;231;4;1;7
5341;1962;2n Cycle;Divorced;81975.0;983;180;3;7
1606;1971;Graduation;Together;38590.0;3;4;0;8
9617;1951;Graduation;Single;15033.0;0;6;0;3
3233;1965;PhD;Married;62745.0;562;28;8;5
89;1975;2n Cycle;Married;22212.0;5;6;0;6
2936;1982;Master;Together;23661.0;18;0;0;7
9449;1958;PhD;Single;79761.0;415;15;2;3
7297;1973;Graduation;Single;7500.0;5;12;1;7
11004;1893;2n Cycle;Single;60182.0;8;7;0;4
313;1968;Graduation;Widow;73455.0;901;186;5;3
9940;1958;Graduation;Together;64961.0;382;75;4;3
10735;1971;Graduation;Single;22804.0;14;2;0;9
9529;1990;Graduation;Married;73687.0;559;218;9;2
6439;1958;Graduation;Married;61074.0;789;0;5;7
7411;1964;PhD;Married;31686.0;11;0;0;6
2176;1972;Graduation;Married;80134.0;1218;104;3;6
9265;1953;Graduation;Married;75027.0;925;133;4;5
8867;1988;PhD;Married;67546.0;864;150;10;3
8932;1969;Master;Together;65176.0;960;220;6;6
10236;1975;Master;Single;31160.0;16;6;0;8
6340;1985;Graduation;Single;29938.0;3;0;0;6
10089;1974;Graduation;Divorced;102692.0;168;32;9;2
2227;1958;2n Cycle;Together;26490.0;45;21;1;6
10992;1967;Graduation;Together;75702.0;650;45;6;8
5304;1974;PhD;Single;30899.0;24;0;0;6
309;1961;PhD;Together;63342.0;918;13;3;6
3406;1964;Graduation;Single;45989.0;138;28;2;3
2661;1964;Graduation;Single;18701.0;12;10;0;5
3153;1957;PhD;Single;40737.0;11;0;0;8
10264;1979;Graduation;Divorced;15287.0;1;4;1;7
1184;1968;PhD;Divorced;69674.0;554;11;2;5
4200;1970;Master;Married;44159.0;167;24;1;5
9396;1978;PhD;Married;37717.0;9;4;0;9
2387;1952;Master;Together;43776.0;177;3;2;8
6690;1966;Master;Married;38179.0;38;4;1;7
1225;1963;Graduation;Married;80124.0;483;205;7;1
9703;1970;PhD;Married;38097.0;77;0;2;7
291;1970;Graduation;Married;72940.0;182;162;3;1
4557;1970;Graduation;Together;22070.0;10;8;2;6
2379;1953;Graduation;Single;69267.0;778;95;4;7
5726;1983;Master;Single;31788.0;16;0;0;5
3066;1975;PhD;Together;61905.0;167;6;2;5
6336;1960;Graduation;Married;29315.0;13;8;0;6
10967;1963;Graduation;Divorced;33378.0;33;3;0;7
2304;1963;PhD;Together;66313.0;625;10;3;4
3445;1956;Graduation;Single;60714.0;216;101;4;5
7828;1981;Master;Together;77882.0;68;188;3;1
3762;1986;PhD;Single;69867.0;196;33;5;1
4391;1968;Master;Divorced;63841.0;635;20;3;6
4669;1981;Basic;Married;24480.0;4;28;0;7
10144;1976;Graduation;Together;51369.0;297;0;2;8
8652;1946;Graduation;Together;37760.0;84;150;1;7
1672;1974;PhD;Together;65640.0;204;20;1;2
8962;1975;Master;Married;44319.0;26;0;0;5
9974;1974;Graduation;Married;30631.0;15;4;1;7
10983;1952;Graduation;Together;75278.0;304;150;3;3
8148;1956;Master;Together;50898.0;285;55;2;5
10102;1966;Graduation;Widow;79946.0;395;166;11;3
4697;1949;Master;Divorced;35416.0;248;4;1;8
9262;1984;2n Cycle;Together;32414.0;20;0;0;7
7254;1969;Graduation;Together;38361.0;39;20;1;7
4543;1980;Graduation;Married;82497.0;777;216;7;4
4927;1971;Graduation;Together;16626.0;8;21;0;9
10451;1965;Graduation;Together;29672.0;9;0;0;6
2926;1952;Master;Together;55951.0;1241;0;6;8
2874;1988;2n Cycle;Divorced;35388.0;6;4;0;7
9738;1986;Master;Together;42386.0;65;0;0;8
7119;1982;Graduation;Single;68627.0;395;60;3;1
3924;1965;PhD;Divorced;57912.0;801;0;3;5
5827;1958;Graduation;Divorced;35246.0;36;2;1;5
5596;1956;2n Cycle;Together;58821.0;513;19;2;6
10812;1978;PhD;Married;46377.0;37;4;1;4
1717;1988;Graduation;Single;39747.0;80;20;1;8
9491;1984;Graduation;Together;23976.0;14;2;1;7
9274;1961;Master;Married;80950.0;525;219;7;2
6609;1966;Graduation;Widow;27038.0;1;17;0;9
6963;1947;Graduation;Single;77457.0;675;15;5;1
4440;1964;Master;Married;64100.0;509;0;3;7
1379;1992;Master;Together;42670.0;154;20;2;4
10032;1976;Graduation;Divorced;12571.0;3;2;1;6
2826;1967;Graduation;Married;22574.0;25;2;0;7
2437;1989;Graduation;Married;0.0;861;60;5;3
6320;1976;Master;Single;70893.0;768;77;6;3
3050;1966;Graduation;Married;54198.0;185;3;1;4
231;1956;Master;Together;28839.0;24;0;0;5
2392;1972;Graduation;Married;40321.0;44;6;0;7
9478;1985;Graduation;Single;66503.0;91;65;3;3
113;1951;Graduation;Married;30833.0;11;3;0;5
2863;1970;Graduation;Single;0.0;738;52;3;7
1802;1971;Graduation;Married;64795.0;412;38;3;2
520;1974;Graduation;Married;34421.0;3;6;0;7
8275;1965;PhD;Divorced;47025.0;16;0;0;7
9750;1961;PhD;Divorced;64325.0;731;78;3;7
2607;1953;Graduation;Single;40464.0;424;7;2;8
7214;1957;Graduation;Married;62187.0;792;45;8;3
5835;1976;PhD;Divorced;14849.0;21;3;0;8
3896;1984;Graduation;Married;27255.0;22;0;0;7
10350;1950;PhD;Married;54432.0;33;0;0;4
7786;1986;PhD;Single;29999.0;68;10;1;8
2861;1983;Graduation;Single;24072.0;9;3;0;8
663;1989;PhD;Single;33996.0;40;8;1;4
10675;1956;PhD;Married;66334.0;909;0;3;5
2521;1971;Master;Married;35178.0;23;2;1;7
9592;1983;Graduation;Together;22010.0;11;3;0;8
10151;1960;Graduation;Divorced;62204.0;317;151;5;3
7381;1968;Graduation;Divorced;75693.0;797;72;4;4
4099;1972;Graduation;Married;30675.0;10;11;0;8
9560;1965;Graduation;Together;83003.0;856;40;6;3
1150;1899;PhD;Together;83532.0;755;104;6;1
10172;1988;Graduation;Single;68655.0;456;75;5;3
11191;1986;Graduation;Divorced;41411.0;37;11;1;6
9707;1969;PhD;Married;55212.0;1103;0;2;8
6245;1950;PhD;Together;59292.0;378;19;5;3
8234;1973;Basic;Together;27190.0;1;0;0;8
1411;1952;Graduation;Divorced;82623.0;204;172;9;1
8553;1965;Graduation;Married;44300.0;30;0;0;6
1826;1970;Graduation;Divorced;84835.0;189;111;4;1
8842;1971;Graduation;Widow;30372.0;15;7;0;7
11030;1976;Master;Married;33181.0;9;0;0;6
2579;1957;Graduation;Married;71113.0;495;11;7;4
175;1986;Graduation;Married;71952.0;656;52;4;4
9185;1966;PhD;Single;69759.0;452;13;6;3
11056;1974;Graduation;Married;72099.0;546;119;4;1
9365;1976;PhD;Single;60000.0;1048;0;3;6
6201;1978;Graduation;Single;38643.0;22;0;0;7
2061;1955;Graduation;Married;50737.0;78;0;0;6
6184;1969;PhD;Married;68462.0;561;84;3;1
6142;1943;Master;Married;65073.0;629;69;3;2
4107;1948;PhD;Together;46681.0;269;15;6;5
7274;1957;Graduation;Married;78618.0;736;212;7;2
9336;1969;PhD;Widow;62187.0;512;0;2;4
2958;1978;Graduation;Married;28442.0;19;11;1;4
933;1978;PhD;Married;37717.0;9;4;0;9
5837;1967;Graduation;Married;51479.0;247;6;3;7
10704;1969;Graduation;Single;54803.0;404;28;2;4
5125;1960;Graduation;Married;79530.0;333;129;10;2
4432;1976;Graduation;Divorced;31615.0;2;6;0;7
5955;1962;Graduation;Together;72025.0;833;151;3;3
2928;1975;PhD;Single;52614.0;789;12;4;8
5680;1984;2n Cycle;Married;35684.0;10;0;0;6
10313;1975;Graduation;Married;48178.0;159;6;1;8
2557;1970;Master;Single;29548.0;7;3;1;4
1245;1966;Graduation;Single;63810.0;977;16;3;8
1519;1972;PhD;Single;38578.0;38;3;0;8
10703;1975;Master;Single;46098.0;57;0;2;8
1726;1970;Graduation;Single;22585.0;3;13;1;9
4459;1989;Graduation;Single;30279.0;10;4;0;8
1729;1961;PhD;Together;66426.0;1043;32;5;6
1517;1969;Graduation;Single;30822.0;3;2;0;7
2098;1969;PhD;Married;33581.0;11;0;0;8
9543;1985;Graduation;Married;19986.0;3;0;0;7
6878;1954;Graduation;Widow;27421.0;43;78;1;7
3310;1973;2n Cycle;Married;35688.0;73;12;1;8
2724;1981;Master;Single;36143.0;12;0;1;3
948;1971;Graduation;Single;10245.0;4;6;2;5
6720;1968;Master;Together;43795.0;314;4;3;7
6202;1960;Graduation;Together;63381.0;571;33;5;2
2066;1949;Graduation;Together;38823.0;70;2;1;6
9799;1968;PhD;Divorced;83664.0;866;28;2;5
8318;1979;Graduation;Together;90300.0;594;33;6;1
5642;1979;Master;Together;62499.0;140;0;1;4
2669;1993;Graduation;Single;74293.0;375;93;4;2
455;1946;PhD;Married;51012.0;102;2;1;6
7683;1968;Master;Married;70777.0;554;0;3;3
3428;1991;PhD;Together;68682.0;919;99;9;2
7414;1971;Graduation;Married;43824.0;96;12;1;8
6354;1984;Graduation;Together;15345.0;5;3;1;8
798;1987;Graduation;Single;23442.0;2;8;0;7
8213;1980;2n Cycle;Together;14515.0;6;6;2;7
2488;1956;2n Cycle;Divorced;31395.0;23;0;1;6
9999;1965;Graduation;Together;75276.0;610;137;4;5
7617;1974;Graduation;Single;42373.0;67;3;1;5
615;1960;Graduation;Together;30507.0;65;38;1;7
2552;1955;PhD;Single;55521.0;416;0;3;7
194;1965;Graduation;Married;48006.0;23;3;0;6
3645;1972;PhD;Single;27213.0;19;10;0;8
8890;1971;PhD;Divorced;65808.0;155;13;1;6
5049;1974;PhD;Together;30351.0;14;3;0;9
9973;1963;Graduation;Married;50437.0;370;6;1;7
7301;1982;2n Cycle;Single;23616.0;4;3;0;8
10882;1976;Graduation;Married;53858.0;407;58;3;4
7030;1955;PhD;Married;66465.0;1200;38;9;6
7422;1987;Graduation;Single;46923.0;85;102;1;7
3523;1962;Graduation;Together;75072.0;583;0;4;3
7106;1943;PhD;Married;75865.0;483;156;5;1
6504;1975;2n Cycle;Together;19789.0;2;28;1;5
5067;1994;Graduation;Together;80134.0;966;52;7;5
4216;1981;Graduation;Single;91065.0;822;179;9;3
8581;1971;Master;Married;49505.0;604;19;2;8
5929;1973;PhD;Married;37401.0;19;3;0;7
3129;1983;Graduation;Married;30096.0;5;12;0;6
6528;1982;Master;Together;18492.0;2;2;0;8
1361;1974;Master;Married;82584.0;1076;29;4;1
6932;1941;PhD;Married;93027.0;1285;55;10;2
7284;1953;Graduation;Married;48686.0;10;2;0;8
1340;1986;Graduation;Married;92910.0;551;179;7;1
8746;1989;Graduation;Married;75433.0;800;0;5;6
5987;1989;2n Cycle;Together;10404.0;2;10;0;5
3767;1968;Graduation;Married;61314.0;378;97;5;3
3725;1961;PhD;Single;84865.0;1248;43;4;4
4324;1989;Graduation;Married;42387.0;235;19;1;8
238;1967;2n Cycle;Together;67309.0;515;149;6;7
6694;1964;Graduation;Married;75236.0;438;12;3;4
498;1970;Graduation;Single;30015.0;25;2;0;5
9347;1956;Master;Together;50943.0;31;2;0;5
9699;1966;Graduation;Divorced;67272.0;357;28;2;5
10664;1949;Master;Widow;51529.0;400;6;1;8
5455;1971;PhD;Married;32011.0;99;2;1;7
456;1986;2n Cycle;Married;7500.0;1;4;0;8
5012;1989;Graduation;Married;28691.0;5;8;0;8
7495;1948;PhD;Married;56223.0;77;16;1;4
5029;1946;Graduation;Married;18100.0;3;4;0;5
10642;1989;Graduation;Single;30279.0;10;4;0;8
2106;1974;2n Cycle;Married;20130.0;0;7;0;8
10364;1959;Graduation;Divorced;23295.0;0;2;0;8
5954;1972;Master;Divorced;42618.0;76;13;0;8
1137;1964;Graduation;Single;81246.0;398;61;5;1
2541;1976;Graduation;Married;24027.0;14;11;0;8
1142;1953;PhD;Married;55707.0;208;30;2;3
2276;1955;Graduation;Single;57959.0;430;43;7;3
2807;1969;Graduation;Married;56796.0;656;62;9;7
6471;1971;Master;Single;36230.0;14;8;0;5
6131;1980;2n Cycle;Married;70829.0;141;72;2;3
6233;1976;Graduation;Married;65991.0;507;25;5;7
4148;1972;Graduation;Married;38988.0;164;12;1;8
4947;1966;2n Cycle;Single;89572.0;606;197;7;4
3225;1984;Master;Married;42207.0;116;3;1;6
7540;1952;Graduation;Married;50300.0;143;24;1;2
10648;1982;2n Cycle;Together;66664.0;398;220;7;3
1992;1964;Graduation;Married;60597.0;522;32;2;7
7851;1949;Graduation;Widow;70165.0;161;199;7;1
8594;1958;PhD;Widow;50520.0;112;2;1;6
7059;1963;Graduation;Married;80124.0;483;205;7;1
2815;1975;Graduation;Married;33183.0;7;17;0;7
2416;1969;PhD;Single;66582.0;789;16;8;1
7999;1955;PhD;Together;75261.0;1239;23;6;2
9213;1970;Graduation;Widow;31880.0;4;2;0;8
9697;1951;Graduation;Married;53790.0;335;28;2;6
3916;1971;PhD;Together;49269.0;639;11;3;7
2021;1975;Graduation;Married;61456.0;563;84;10;4
1581;1980;Graduation;Married;37406.0;2;2;0;8
564;1981;PhD;Together;56937.0;746;11;6;6
6619;1978;Graduation;Married;38415.0;22;4;0;7
9081;1988;Graduation;Single;20518.0;4;4;1;5
178;1956;Graduation;Married;62503.0;478;110;3;5
916;1972;PhD;Single;41644.0;20;2;0;3
5512;1977;Master;Married;55842.0;451;0;1;5
8970;1972;PhD;Married;62010.0;371;6;2;5
10581;1977;Graduation;Married;41124.0;281;15;3;8
5300;1973;Master;Married;38961.0;19;0;1;7
5154;1972;Master;Divorced;37760.0;26;2;0;6
8346;1974;Graduation;Single;32233.0;138;25;2;9
1676;1975;Graduation;Married;43057.0;213;0;2;5
9286;1960;Master;Together;83151.0;407;120;9;3
2426;1964;PhD;Divorced;78825.0;483;169;10;3
5172;1976;Master;Together;65104.0;738;13;5;7
5562;1974;Graduation;Married;60093.0;502;16;2;6
3436;1969;Graduation;Married;14045.0;11;2;0;7
3921;1952;2n Cycle;Widow;28457.0;24;29;1;8
3403;1958;PhD;Together;78952.0;1170;99;5;6
22;1976;Graduation;Divorced;46310.0;185;15;1;8
10965;1955;Graduation;Together;76005.0;983;240;5;6
9426;1964;Master;Single;58308.0;691;10;6;8
6605;1944;PhD;Divorced;55614.0;504;8;4;7
3136;1962;Master;Divorced;59432.0;317;25;3;5
8737;1978;Graduation;Divorced;55563.0;29;2;0;3
11088;1971;PhD;Together;78642.0;1396;46;9;6
716;1949;PhD;Together;67911.0;529;63;7;3
466;1944;Graduation;Married;65275.0;388;91;3;2
9135;1950;Graduation;Together;27203.0;13;4;1;8
10623;1961;Master;Together;48330.0;28;0;0;5
8151;1990;Basic;Married;24279.0;16;20;1;8
5140;1985;PhD;Married;64355.0;1047;67;3;8
10160;1956;Master;Together;50943.0;31;2;0;5
4945;1953;Graduation;Widow;53653.0;815;28;4;6
10584;1976;Graduation;Married;65665.0;225;106;10;3
6071;1989;Graduation;Single;81217.0;493;146;7;1
3386;1992;Graduation;Married;34935.0;34;3;1;7
8939;1959;Graduation;Divorced;61250.0;382;60;2;5
9925;1981;PhD;Together;39665.0;127;0;2;7
4320;1979;Graduation;Single;60152.0;325;86;4;3
5389;1964;Graduation;Married;48920.0;238;8;2;7
6036;1959;Master;Together;89120.0;1168;72;6;1
182;1946;PhD;Together;44124.0;284;0;2;8
203;1975;Master;Single;81169.0;1288;80;7;2
11025;1961;Graduation;Married;36443.0;65;4;1;8
10203;1990;Graduation;Single;26095.0;11;3;0;7
